target,function,ZeroRule,Linear,LinearNE,SVM,GaussianProcess,KNeighbors,MLP
iris,F1Score,0.06289731682146543,0.06289731682146543,0.06289731682146543,0.947133302847109,0.9539329229800624,0.9537267279214424,0.9476793075353176
 ,Accuracy,0.1866666666666667,0.1866666666666667,0.1866666666666667,0.9466666666666668,0.9533333333333334,0.9533333333333334,0.9466666666666668
sonar,F1Score,0.37895863044516775,0.37895863044516775,0.37895863044516775,0.8150210014099855,0.809944132578092,0.767668179654455,0.7977158319244633
 ,Accuracy,0.5336538461538461,0.5336538461538461,0.5336538461538461,0.8173054587688734,0.8124274099883856,0.7696864111498257,0.7987224157955864
glass,F1Score,0.15767948719852706,0.15767948719852706,0.15767948719852706,0.1642504033993702,0.6812741288977705,0.6459401091561464,0.1906272256051315
 ,Accuracy,0.3130841121495328,0.3130841121495328,0.3130841121495328,0.3229235880398671,0.7057585825027686,0.6684385382059801,0.3554817275747508
airfoil,R2Score,-0.007200090058511043,0.4859860708487728,0.5022643826480366,0.1688849973317607,0.0697346477949032,0.2288509015925957,-0.0012487359791554
 ,MeanSquared,47.623142750736704,24.04366524458062,23.290553575516704,39.33848024023765,44.02177593472671,36.36485762148829,47.587804470468384
winequality-red,R2Score,-0.004997806084370732,0.3355735507709273,0.3466498994393496,0.1702863857921265,0.2325699967470745,0.1296120369729393,0.264920024040523
 ,MeanSquared,0.6523868842658066,0.4308423382264702,0.4229760881692294,0.5402998247429066,0.4979449643417023,0.5640938087774294,0.4781650416276631
winequality-white,R2Score,-0.0015367123081036658,0.2577243652300791,0.27386512104919924,0.1463654047502317,0.2499913794269732,0.1504382467980769,0.2649316483407665
 ,MeanSquared,0.7844268585636898,0.5807305317237152,0.5680161888887006,0.6688592063132337,0.5879996100398923,0.6655329344812492,0.5758047656246857
