score_id,target,function,5 trees,10 trees
1,iris,F1Score,0.9137444777444776,0.9325034965034965
2, ,Accuracy,0.9133333333333333,0.9333333333333333
3,sonar,F1Score,0.717850150091943,0.7492944354235197
4, ,Accuracy,0.7211538461538461,0.75
5,glass,F1Score,0.6063079434285419,0.5882070350154822
6, ,Accuracy,0.6308411214953271,0.6308411214953271
7,airfoil_self_noise,R2Score,0.7076053097135656,0.7127599074504695
8, ,MeanSquared,13.72231154185954,13.44143727603591
9,winequality-red,R2Score,0.3457047035627476,0.3822461016944222
10, ,MeanSquared,0.42175563300265645,0.39888130217320794
11,winequality-white,R2Score,0.3266754690578546,0.33330585118666206
12, ,MeanSquared,0.5274372595249505,0.5217860082088939
